EVTNAME90820401;Commercial Aviation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820401;Since the birth of mechanical flight, our nation has taken a leading role in the production of airplanes. As such, a booming civil aviation industry has sprung up in $COUNTRY$.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820401;Excellent!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820402;The World's First Air-Line;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820402;$COUNTRY_ADJ$ capitalists have come together to create a joint venture unlike any before it: they call it an 'Air-Line' and they intend to trade under the name '$COUNTRY_ADJ$ Airship Travel Corporation'. They plan to deliver mail, goods, and passengers to destinations all around $COUNTRY$ and, hopefully, the world.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820402;The famous $COUNTRY_ADJ$ spirit of enterprise!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820403;The $COUNTRY_ADJ$ Line;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820403;Our country's rise as a major producer of steamships has been in part fuelled by the increasingly popular use of steam-powered ships to cross the Atlantic. In order to tap into that lucrative market, capitalists have come together in $COUNTRY$ and have founded a new transatlantic shipping line, the $COUNTRY$ Line.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820403;May it sail forever!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820404;$COUNTRY_ADJ$ Line Wins Blue Riband!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820404;A ship of the $COUNTRY_ADJ$ Line, the SS $CAPITAL$, has won the Blue Riband, the prestigious award for the fastest crossing of the Atlantic! $COUNTRY$ has demonstrated to the world that it can produce ships of not only the most outstanding artistic quality, but also of the highest engineering standards.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820404;Three hurrahs for the $COUNTRY_ADJ$ Line!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820405;Unsinkable Ship Launched!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820405;The $COUNTRY_ADJ$ Line has launched a new ship, christened Titanic due to her enormous size. She is the largest moving thing ever built by man! Not only that, but her innovative design makes her practically unsinkable, a fact that is sure to make her immensely profitable for the $COUNTRY_ADJ$ Line. Soon she will be ready for her sea trials and will be able to make her maiden voyage across the Atlantic.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820405;Well she doesn't look any bigger than the Mauretania.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820406;Titanic Sinks With Huge Loss of Life!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820406;A $COUNTRY_ADJ$ Line ship, the Titanic, has sunk while crossing the Atlantic Ocean on her mayden voyage. The ship, the largest moving object in the world, was carying 2,208 passengers and crew when she struck an iceberg and sunk. 1,503 souls perished at the disaster, and experts are putting the blame on the $COUNTRY_ADJ$ Line's top executives, who had not provided enough life boats for all passengers sailing on the Titanic, and on the $COUNTRY_ADJ$ government, which failed to pass adequate safety regulations. This has caused a global public outcry against irresponsible capitalism to erupt.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820406;We must reform to avoid such a tragedy occuring again!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB90820406;This was just a freak accident.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820407;Ghosts of the Titanic;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820407;The aftermath of the Titanic disaster has created a wave of support for safety regulations in the developed world. The people are demanding such things of the government as not letting capitalists reap huge profits from shipping lines without first providing a bare minimum of safety for the passengers.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820407;We must reform to avoid such a tragedy occuring again!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB90820407;This was just a freak accident.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME90820408;Preventing Another Titanic;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC90820408;The powerful pro-regulation lobby created in the aftermath of the deadly Titanic disaster has achieved its goals, ensuring world-class safety standards in $COUNTRY$. Ships, trains, airplanes, automobiles, and everything else, is safer as a result.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA90820408;It was the right thing to do.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x